SN,Flight,Tent,Notice
1,A,F3,
2,A,M2,
3,A,F3,
4,A,M3,
5,A,M5,
6,A,F3,
7,A,M6,
8,A,F1,
9,A,M5,
10,A,F3,
11,A,M4,
12,A,M3,
13,A,F2,
14,A,F3,
15,A,F1,
16,B,M5,
17,B,M6,
18,B,F1,
19,B,M0-18,
20,B,M1,
21,B,M4,
22,B,M3,
23,B,M1,
24,B,M6,
25,B,M3,
26,B,M3,
27,B,M2,
28,B,M5,
29,B,M6,
30,B,M4,
31,C,M1,
32,C,F1,
33,C,M6,
34,C,F2,
35,C,F3,
37,C,F2,
38,C,F2,
39,C,M2,
40,C,M5,
41,C,M5,
42,C,F1,
43,C,M6,
44,C,M1,
45,C,M4,
46,D,F2,
47,D,F2,
49,D,M2,
50,D,M4,
51,D,F1,
52,D,M5,
53,D,M1,
54,D,M2,
55,D,M1,
56,D,M0-18,
59,D,M2,
